cbg_fips,latitude,longitude
3.6005E+11,40.83034935,-73.87624796
3.6005E+11,40.83257479,-73.87771686
3.6005E+11,40.83236674,-73.87957278
3.6005E+11,40.83277503,-73.88041626
3.6005E+11,40.82593007,-73.92236002
3.6005E+11,40.82325988,-73.92394602
3.6005E+11,40.83771983,-73.87797728
3.6005E+11,40.82523779,-73.92029806
3.6005E+11,40.82382627,-73.92118692
3.6005E+11,40.82083907,-73.92386548
3.6005E+11,40.83353278,-73.87497245
3.6005E+11,40.83508065,-73.87754519
3.6005E+11,40.83479116,-73.87598421
3.6005E+11,40.8305413,-73.87533763
3.6005E+11,40.83077953,-73.87421012
3.6005E+11,40.82995676,-73.92645236
3.6005E+11,40.82082968,-73.93025312
3.6005E+11,40.82665785,-73.92460737
3.6005E+11,40.82587242,-73.92600051
3.6005E+11,40.82400214,-73.92756172
3.6005E+11,40.82326965,-73.92591338
3.6005E+11,40.83181523,-73.8717227
3.6005E+11,40.83335136,-73.87202851
3.6005E+11,40.83314693,-73.87320698
3.6005E+11,40.83514741,-73.87259932
3.6005E+11,40.81638918,-73.92250004
3.6005E+11,40.81920672,-73.92290965
3.6005E+11,40.81801803,-73.92068366
3.6005E+11,40.81711573,-73.91910271
3.6005E+11,40.81875594,-73.91549141
3.6005E+11,40.81903066,-73.91964736
3.6005E+11,40.82091578,-73.92032184
3.6005E+11,40.82061669,-73.91884709
3.6005E+11,40.81811042,-73.91785044
3.6005E+11,40.819774,-73.9171001
3.6005E+11,40.83025014,-73.86929066
3.6005E+11,40.82873271,-73.87200763
3.6005E+11,40.8283119,-73.86987957
3.6005E+11,40.8212324,-73.91391127
3.6005E+11,40.8222866,-73.91633286
3.6005E+11,40.82196753,-73.91862164
3.6005E+11,40.82267408,-73.91792695
3.6005E+11,40.82887403,-73.86568211
3.6005E+11,40.83072929,-73.8670249
3.6005E+11,40.83121337,-73.86472115
3.6005E+11,40.82107952,-73.91038371
3.6005E+11,40.81750068,-73.9134604
3.6005E+11,40.83074336,-73.86040819
3.6005E+11,40.83031642,-73.86234019
3.6005E+11,40.83235315,-73.85979151
3.6005E+11,40.83123928,-73.85898577
3.6005E+11,40.81445415,-73.90766091
3.6005E+11,40.81471275,-73.90904195
3.6005E+11,40.81485914,-73.91096151
3.6005E+11,40.81737013,-73.85236548
3.6005E+11,40.82158219,-73.85336083
3.6005E+11,40.8194762,-73.85285929
3.6005E+11,40.81749075,-73.91032678
3.6005E+11,40.82025042,-73.90807358
3.6005E+11,40.81722039,-73.9086392
3.6005E+11,40.81763793,-73.90698205
3.6005E+11,40.83521006,-73.87010351
3.6005E+11,40.83365373,-73.86969576
3.6005E+11,40.83182415,-73.86927723
3.6005E+11,40.83344695,-73.86768826
3.6005E+11,40.83334011,-73.8650821
3.6005E+11,40.81974248,-73.90442388
3.6005E+11,40.82940357,-73.85290157
3.6005E+11,40.82812889,-73.85152546
3.6005E+11,40.83122251,-73.85574834
3.6005E+11,40.83034771,-73.85447124
3.6005E+11,40.8178924,-73.90384402
3.6005E+11,40.8163398,-73.90352182
3.6005E+11,40.81378656,-73.90444271
3.6005E+11,40.81407472,-73.90583263
3.6005E+11,40.81605287,-73.90469161
3.6005E+11,40.81636036,-73.90637966
3.6005E+11,40.81624543,-73.9020267
3.6005E+11,40.81500583,-73.9019882
3.6005E+11,40.81410211,-73.90197986
3.6005E+11,40.81321285,-73.901933
3.6005E+11,40.81219287,-73.90254685
3.6005E+11,40.81190262,-73.90122849
3.6005E+11,40.81547555,-73.85035489
3.6005E+11,40.81566398,-73.84684349
3.6005E+11,40.81463809,-73.89777554
3.6005E+11,40.81639309,-73.89945091
3.6005E+11,40.81806714,-73.90105411
3.6005E+11,40.81634376,-73.89812738
3.6005E+11,40.81587832,-73.89734393
3.6005E+11,40.82199374,-73.85030021
3.6005E+11,40.81776666,-73.84931883
3.6005E+11,40.81987524,-73.84980317
3.6005E+11,40.81934742,-73.89860135
3.6005E+11,40.82018887,-73.89484438
3.6005E+11,40.8182534,-73.89618372
3.6005E+11,40.82047112,-73.89693773
3.6005E+11,40.82160775,-73.89671435
3.6005E+11,40.81957784,-73.89286499
3.6005E+11,40.81735222,-73.89518438
3.6005E+11,40.82067006,-73.8431706
3.6005E+11,40.82333307,-73.83835917
3.6005E+11,40.81990591,-73.84665556
3.6005E+11,40.82202704,-73.84715342
3.6005E+11,40.81817446,-73.84625856
3.6005E+11,40.83282981,-73.85642864
3.6005E+11,40.832143,-73.84951146
3.6005E+11,40.83241105,-73.85263294
3.6005E+11,40.8336194,-73.84989056
3.6005E+11,40.83058945,-73.84891681
3.6005E+11,40.80364705,-73.88515158
3.6005E+11,40.81024413,-73.89578918
3.6005E+11,40.81800809,-73.89065681
3.6005E+11,40.81528447,-73.88921758
